ss=123456789, cc=1234-5678-9012-3456
ss=123456790, cc=2234-5678-9012-3457
ss=123456791, cc=3234-5678-9012-3458
ss=123456792, cc=4234-5678-9012-3459
ss=123456719, cc=5555-5678-9012-3456
ss=123456710, cc=9999-5678-9012-3457
ss=123456711, cc=3333-5678-9012-3458
ss=123456712, cc=8888-5678-9012-3459
ss=123456729, cc=1111-5678-9012-3456
ss=123456720, cc=7777-5678-9012-3457
ss=123456731, cc=3535-5678-9012-3458
ss=123456732, cc=4949-5678-9012-3459
ss=123456749, cc=3737-5678-9012-3456
ss=123456740, cc=6767-5678-9012-3457
ss=123456751, cc=2727-5678-9012-3458
ss=123456752, cc=1687-5678-9012-3459
